period,stock_symbol,ordinary_shares_number,share_issued,total_debt,cash_and_cash_equivalents
2022-12-31 00:00:00,BKR,1006000000.00,1006000000.00,6658000000.00,2488000000.00
2021-12-31 00:00:00,BKR,909000000.00,909000000.00,6727000000.00,3853000000.00
2020-12-31 00:00:00,BKR,724000000.00,724000000.00,7633000000.00,4132000000.00
2019-12-31 00:00:00,BKR,,,,
2023-12-31 00:00:00,BALL,315690035.00,683241401.00,8569000000.00,695000000.00
2022-12-31 00:00:00,BALL,314108039.00,682144408.00,8948000000.00,548000000.00
2021-12-31 00:00:00,BALL,320843843.00,680944867.00,8157000000.00,563000000.00
2020-12-31 00:00:00,BALL,327585616.00,679524325.00,8095000000.00,1366000000.00
2019-12-31 00:00:00,BALL,,,,
2023-12-31 00:00:00,BAC,7895457665.00,7895457665.00,334302000000.00,341419000000.00
2022-12-31 00:00:00,BAC,7996777943.00,7996777943.00,302914000000.00,237462000000.00
2021-12-31 00:00:00,BAC,8077831463.00,8077831463.00,303870000000.00,355365000000.00
2020-12-31 00:00:00,BAC,8650814105.00,8650814105.00,282255000000.00,387009000000.00
2019-12-31 00:00:00,BAC,,,,
2023-12-31 00:00:00,BK,759344092.00,1402429447.00,31736000000.00,125191000000.00
2022-12-31 00:00:00,BK,808444600.00,1395725198.00,30855000000.00,107355000000.00
2021-12-31 00:00:00,BK,804145366.00,1389397912.00,26680000000.00,121336000000.00
2020-12-31 00:00:00,BK,886763531.00,1382306327.00,26334000000.00,162160000000.00
2019-12-31 00:00:00,BK,,,,
2024-01-31 00:00:00,BBWI,225940592.00,240940592.00,5573000000.00,1084000000.00
2023-01-31 00:00:00,BBWI,229000000.00,244000000.00,6053000000.00,1232000000.00
2022-01-31 00:00:00,BBWI,253900000.00,268900000.00,6013000000.00,1979000000.00
2021-01-31 00:00:00,BBWI,278000000.00,286000000.00,7481000000.00,3568000000.00
2020-01-31 00:00:00,BBWI,,,,
2023-12-31 00:00:00,BAX,507633051.00,683494944.00,14364000000.00,3194000000.00
2022-12-31 00:00:00,BAX,504432350.00,683494944.00,17203000000.00,1718000000.00
2021-12-31 00:00:00,BAX,501615428.00,683494944.00,18310000000.00,2951000000.00
2020-12-31 00:00:00,BAX,504914736.00,683494944.00,6804000000.00,3730000000.00
2019-12-31 00:00:00,BAX,,,,
2023-09-30 00:00:00,BDX,290391793.00,370594401.00,15879000000.00,1416000000.00
2022-09-30 00:00:00,BDX,283356710.00,364639901.00,16065000000.00,1006000000.00
2021-09-30 00:00:00,BDX,284475952.00,364639901.00,17610000000.00,2283000000.00
2020-09-30 00:00:00,BDX,290017244.00,364639901.00,17930000000.00,2825000000.00
2024-01-31 00:00:00,BBY,215395970.00,215395970.00,3982000000.00,1447000000.00
2023-01-31 00:00:00,BBY,218100000.00,218100000.00,3978000000.00,1874000000.00
2022-01-31 00:00:00,BBY,227400000.00,227400000.00,3938000000.00,2936000000.00
2021-01-31 00:00:00,BBY,257000000.00,257000000.00,3991000000.00,5494000000.00
2020-01-31 00:00:00,BBY,,,,
2023-12-31 00:00:00,BIO,28518436.00,30265874.00,1405443000.00,403815000.00
2022-12-31 00:00:00,BIO,29595713.00,30236205.00,1388098000.00,434215000.00
2021-12-31 00:00:00,BIO,29932438.00,30211982.00,223376000.00,470783000.00
2020-12-31 00:00:00,BIO,29844056.00,30148805.00,225735000.00,662205000.00
2019-12-31 00:00:00,BIO,,,,
2024-06-30 00:00:00,TECH,158216258.00,158216258.00,419538000.00,151791000.00
2023-06-30 00:00:00,TECH,157641914.00,157641914.00,454965000.00,180571000.00
2022-06-30 00:00:00,TECH,156640000.00,156640000.00,325971000.00,172567000.00
2021-06-30 00:00:00,TECH,155821936.00,155821936.00,420554000.00,199091000.00
2020-06-30 00:00:00,TECH,,,,
2023-12-31 00:00:00,BIIB,144900000.00,168700000.00,7338200000.00,1049900000.00
2022-12-31 00:00:00,BIIB,144000000.00,167800000.00,6614000000.00,3419300000.00
2021-12-31 00:00:00,BIIB,147000000.00,170800000.00,7603500000.00,2261400000.00
2020-12-31 00:00:00,BIIB,152400000.00,176200000.00,7828200000.00,1331200000.00
2019-12-31 00:00:00,BIIB,,,,
2023-12-31 00:00:00,BLK,148500074.00,172075373.00,9702000000.00,8736000000.00
2022-12-31 00:00:00,BLK,149756492.00,172075373.00,8489000000.00,7416000000.00
2021-12-31 00:00:00,BLK,151684491.00,172075373.00,9318000000.00,9323000000.00
2020-12-31 00:00:00,BLK,152532885.00,172075373.00,8019000000.00,8664000000.00
2019-12-31 00:00:00,BLK,,,,
2023-12-31 00:00:00,BX,758039099.00,758039099.00,12293882000.00,2955866000.00
2022-12-31 00:00:00,BX,742653758.00,742653758.00,13371038000.00,4252003000.00
2021-12-31 00:00:00,BX,732037197.00,732037197.00,8714176000.00,2119738000.00
