period,stock_symbol,ebitda,ebit,diluted_eps,basic_eps,net_income,tax_provision,pretax_income,operating_income,operating_expense,gross_profit,total_revenue,operating_revenue
2021-12-31 00:00:00,DLR,3600689000.00,2114057000.00,5.9400,5.9500,1709259000.00,72799000.00,1820211000.00,759726000.00,1889836000.00,2649562000.00,4427882000.00,4427882000.00
2020-12-31 00:00:00,DLR,2100177000.00,733798000.00,1.0000,1.0100,356398000.00,38047000.00,400777000.00,670670000.00,1718823000.00,2389493000.00,3903609000.00,3903609000.00
2019-12-31 00:00:00,DLR,,,,,,,,,,,,
2024-01-31 00:00:00,DG,3295093000.00,2446300000.00,7.5500,7.5700,1661274000.00,458245000.00,2119519000.00,2446300000.00,9272724000.00,11719024000.00,38691609000.00,38691609000.00
2023-01-31 00:00:00,DG,4052764000.00,3327887000.00,10.6800,10.7300,2415989000.00,700625000.00,3116614000.00,3328302000.00,8491796000.00,11820098000.00,37844863000.00,37844863000.00
2022-01-31 00:00:00,DG,3861991000.00,3220675000.00,10.1700,10.2400,2399232000.00,663917000.00,3063149000.00,3220675000.00,7592331000.00,10813006000.00,34220449000.00,34220449000.00
2021-01-31 00:00:00,DG,4129002000.00,3554765000.00,10.6200,10.7000,2655050000.00,749330000.00,3404380000.00,3554765000.00,7164097000.00,10718862000.00,33746839000.00,33746839000.00
2024-01-31 00:00:00,DLTR,-40900000.00,-881900000.00,-4.5500,-4.5500,-998400000.00,9700000.00,-988700000.00,187200000.00,9144600000.00,9331800000.00,30603800000.00,30581600000.00
2023-01-31 00:00:00,DLTR,3003800000.00,2235900000.00,7.2100,7.2400,1615400000.00,495200000.00,2110600000.00,2236300000.00,6699100000.00,8935400000.00,28331700000.00,28318200000.00
2022-01-31 00:00:00,DLTR,2527100000.00,1811100000.00,5.8000,5.8300,1327900000.00,304300000.00,1632200000.00,1811400000.00,5925900000.00,7737300000.00,26321200000.00,26309800000.00
2021-01-31 00:00:00,DLTR,2573700000.00,1887100000.00,5.6500,5.6800,1341900000.00,397900000.00,1739800000.00,1887900000.00,5900400000.00,7788300000.00,25509300000.00,25508400000.00
2020-01-31 00:00:00,DLTR,,,,,,,,,,,,
2023-12-31 00:00:00,D,6822000000.00,3694000000.00,2.2900,2.2900,1994000000.00,575000000.00,2732000000.00,3694000000.00,3264000000.00,6958000000.00,14393000000.00,13487000000.00
2022-12-31 00:00:00,D,6373000000.00,3260000000.00,1.0900,1.1904,1321000000.00,113000000.00,540000000.00,3260000000.00,3117000000.00,6377000000.00,13938000000.00,14552000000.00
2021-12-31 00:00:00,D,5386000000.00,2605000000.00,3.9800,4.0593,3399000000.00,-181000000.00,1880000000.00,2605000000.00,2807000000.00,5412000000.00,11419000000.00,11661000000.00
2020-12-31 00:00:00,D,6935000000.00,4099000000.00,-0.5700,-0.4975,-401000000.00,83000000.00,1411000000.00,4099000000.00,3203000000.00,7302000000.00,14172000000.00,13752000000.00
2019-12-31 00:00:00,D,,,,,,,,,,,,
2023-12-31 00:00:00,DPZ,929555000.00,848915000.00,14.6600,14.8000,519118000.00,133322000.00,652440000.00,819668000.00,907749000.00,1727417000.00,4479358000.00,4479358000.00
